データ順番号,日付,曜日,開催,Ｒ,レース名,重量種別,限定,馬名S,Ｃ,性別,年齢,騎手,斤量,ブリンカー,頭数,馬印,レース印１,人気,着順,距離,馬場状態,着差,2角,3角,4角,上り3F,上3F地点差,馬体重,馬体重増減,多頭出し,所属,調教師,種牡馬,母父馬
96,190406,土,3中5,11,ニュージG2,馬齢,国,ココフィーユ,,牝,3,大野拓弥, 54 ,,15,"  ",,8,７,芝1600,良,0.7,2,2,2,34.5,0.1,430,0,,(美),斎藤誠,ロードカナロア,サンデーサイレンス
97,190406,土,3中5,11,ニュージG2,馬齢,国,アフランシール,,牝,3,田辺裕信, 54 ,,15,"  ",,5,８,芝1600,良,0.7,10,14,13,33.6,1.0,480,+2,,(美),尾関知人,ハーツクライ,サクラバクシンオー
98,190406,土,3中5,11,ニュージG2,馬齢,国,ミッキーブラック,,牡,3,松岡正海, 56 ,,15,"  ",,9,９,芝1600,良,0.7,13,3,2,34.3,0.3,470,-8,,(栗),音無秀孝,ブラックタイド,"Lizard Island"
99,190406,土,3中5,11,ニュージG2,馬齢,国,カルリーノ,,牡,3,石川裕紀, 56 ,B,15,"  ",,6,10,芝1600,良,0.7,5,3,4,34.3,0.3,498,-4,,(美),高橋裕,マツリダゴッホ,ショウナンカンプ
100,190406,土,3中5,11,ニュージG2,馬齢,国,グラナタス,,牡,3,三浦皇成, 56 ,,15,"  ",,7,11,芝1600,良,0.8,2,3,4,34.4,0.3,468,+8,,(美),鹿戸雄一,ロードカナロア,ファルブラヴ
101,190406,土,3中5,11,ニュージG2,馬齢,国,ホープフルサイン,,牡,3,江田照男, 56 ,,15,"  ",,12,12,芝1600,良,0.8,10,11,11,33.9,0.8,492,-2,,(美),本間忍,モンテロッソ,グラスワンダー
102,190406,土,3中5,11,ニュージG2,馬齢,国,ダイシンインディー,,牡,3,武藤雅, 56 ,,15,"  ",,13,13,芝1600,良,0.9,7,8,9,34.2,0.6,528,0,,(美),戸田博文,ゴールドアリュール,"Storm Cat"
103,190406,土,3中5,11,ニュージG2,馬齢,国,エリーバラード,,牝,3,武士沢友, 54 ,,15,"  ",,14,14,芝1600,良,3.1,10,11,13,36.2,0.8,488,-5,,(美),菊沢隆徳,アルデバラン2,キングカメハメハ
104,190406,土,3中5,11,ニュージG2,馬齢,国,アンクルテイオウ,,牡,3,四位洋文, 56 ,,15,"  ",,,外,芝1600,良,----,,,,,,474,-2,,(栗),高橋亮,ハービンジャー,ディープインパクト
105,180407,土,3中5,11,ニュージG2,馬齢,国,カツジ,,牡,3,松山弘平, 56 ,,15,"  ",,2,１,芝1600,良,-0.0,13,14,10,33.9,1.2,478,-12,,(栗),池添兼雄,ディープインパクト,ホワイトマズル
106,180407,土,3中5,11,ニュージG2,馬齢,国,ケイアイノーテック,,牡,3,戸崎圭太, 56 ,,15,"  ",,1,２,芝1600,良,0.0,8,8,5,34.5,0.6,456,-12,,(栗),平田修,ディープインパクト,"Smarty Jones"
