Ｍ,日付,レース名,馬名S,Ｃ,性別,年齢,人気,着順,間隔,頭数,開催,距離,馬場状態,2角,3角,4角,前走開催,前芝・ダ,前距離,前走馬場状態,前2角,前3角,前4角,前走人気,前走着順,前走着差タイム,前クラス名,騎手,前騎手,馬体重,馬体重増減,前走馬体重増減,斤量,前走斤量,ブリンカー,前走B,馬印,前走馬印,馬印2,前走馬印2,馬印3,前走馬印3,馬印4,前走馬印4,多頭出し,所属,調教師,前走日付,前走レース名
,210410,ニュージG2,ヴィジュネル,,牡,3,8,４,3,16,3中5,芝1600,良,6,7,6,2名3,芝,1400,良,,10,10,10,７, 0.6,Ｇ３,内田博幸,藤岡康太,460,-6,-6, 56 , 56 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),渡辺薫彦,210320,ファルコG3
,210410,ニュージG2,シュバルツカイザー,,牡,3,10,５,3,16,3中5,芝1600,良,10,10,6,2中7,芝,1600,良,3,2,2,6,１,-0.0,1勝,石川裕紀,大野拓弥,500,+6,-4, 56 , 56 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),大竹正博,210320,１勝ｸﾗｽ*
,210410,ニュージG2,ゴールドチャリス,,牝,3,15,６,4,16,3中5,芝1600,良,10,14,13,1阪A,芝,1400,良,,8,12,12,12, 0.8,Ｇ２,田中勝春,浜中俊,416,+2,0, 54 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),武幸四郎,210314,フィリーG2
,210410,ニュージG2,ワザモノ,,牡,3,9,７,5,16,3中5,芝1600,良,15,10,10,2中4,芝,1600,良,2,3,3,3,１,-0.0,1勝,黛弘人,Ｍ．デム,496,+4,-12, 56 , 56 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),尾関知人,210307,１勝ｸﾗｽ*
,210410,ニュージG2,ロンギングバース,,牡,3,14,８,10,16,3中5,芝1600,良,13,15,15,1東1,芝,1400,良,,2,2,6,６, 0.6,OP(L),横山和生,石橋脩,456,-6,+6, 56 , 56 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),竹内正洋,210130,クロッカ(L)
,210410,ニュージG2,スパークル,,牝,3,6,９,7,16,3中5,芝1600,良,6,7,10,1東8,芝,1600,良,,3,3,3,１,-0.0,1勝,岩田望来,川田将雅,462,-8,+2, 54 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),中内田充,210221,１勝ｸﾗｽ*
,210410,ニュージG2,ブルーシンフォニー,,牡,3,12,10,10,16,3中5,芝1600,良,3,10,10,1東1,芝,1400,良,,9,7,4,５, 0.5,OP(L),丸山元気,戸崎圭太,476,-2,+2, 56 , 56 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),伊藤圭三,210130,クロッカ(L)
,210410,ニュージG2,ドゥラモンド,,牡,3,5,11,9,16,3中5,芝1600,良,10,5,6,1名C,芝,2000,良,7,8,6,5,10, 1.9,Ｇ３,横山武史,岩田望来,480,+2,0, 56 , 56 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),手塚貴久,210207,きさらぎG3
,210410,ニュージG2,トーセンウォーリア,,牡,3,16,12,3,16,3中5,芝1600,良,16,16,16,2名3,芝,1400,良,,4,3,13,14, 2.0,Ｇ３,武藤雅,菱田裕二,494,0,-2, 56 , 56 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),池上昌和,210320,ファルコG3
,210410,ニュージG2,ワーズワース,,牡,3,7,13,4,16,3中5,芝1600,良,6,5,6,1阪A,ダ,1400,稍,,14,11,1,１,-0.1,1勝,北村宏司,武豊,500,+2,-10, 56 , 56 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),清水久詞,210314,１勝ｸﾗｽ*
