データ順番号,日付,曜日,開催,Ｒ,レース名,重量種別,限定,馬名S,Ｃ,性別,年齢,騎手,斤量,ブリンカー,頭数,馬印,レース印１,人気,着順,距離,馬場状態,着差,2角,3角,4角,上り3F,上3F地点差,馬体重,馬体重増減,多頭出し,所属,調教師,種牡馬,母父馬
83,210411,日,2阪6,11,桜花賞G1,定量,国,ジネストラ,,牝,3,北村宏司, 55 ,,18,"  ",,12,11,芝1600,良,1.5,,2,3,35.4,0.4,442,+2,,(美),鹿戸雄一,ロードカナロア,サンデーサイレンス
84,210411,日,2阪6,11,桜花賞G1,定量,国,ストライプ,,牝,3,田辺裕信, 55 ,,18,"  ",,13,12,芝1600,良,1.5,,15,14,34.6,1.2,502,-12,,(美),尾形和幸,ルーラーシップ,ダイワメジャー
85,210411,日,2阪6,11,桜花賞G1,定量,国,エリザベスタワー,,牝,3,川田将雅, 55 ,,18,"  ",,6,13,芝1600,良,1.5,,8,11,34.7,1.1,508,+2,,(栗),高野友和,Kingman,Doyen
86,210411,日,2阪6,11,桜花賞G1,定量,国,ブルーバード,,牝,3,柴田大知, 55 ,,18,"  ",,18,14,芝1600,良,1.8,,13,11,35.0,1.1,428,-2,,(美),高橋祥泰,リーチザクラウン,"Elusive Quality"
87,210411,日,2阪6,11,桜花賞G1,定量,国,ソングライン,,牝,3,池添謙一, 55 ,,18,"  ",,7,15,芝1600,良,2.0,,11,14,35.0,1.3,478,-2,,(美),林徹,キズナ,シンボリクリスエス
88,210411,日,2阪6,11,桜花賞G1,定量,国,シゲルピンクルビー,,牝,3,和田竜二, 55 ,,18,"  ",,10,16,芝1600,良,2.4,,3,6,36.0,0.7,462,-2,,(栗),渡辺薫彦,モーリス,"High Chaparral"
89,210411,日,2阪6,11,桜花賞G1,定量,国,ヨカヨカ,,牝,3,幸英明, 55 ,,18,"  ",,11,17,芝1600,良,2.9,,3,3,36.7,0.5,456,-2,,(栗),谷潔,スクワートルスクワート,"Danehill Dancer"
90,210411,日,2阪6,11,桜花賞G1,定量,国,メイケイエール,,牝,3,横山典弘, 55 ,,18,"  ",,3,18,芝1600,良,2.9,,3,1,37.2,0.0,458,-4,,(栗),武英智,ミッキーアイル,ハービンジャー
91,200412,日,2阪6,11,桜花賞G1,定量,国,デアリングタクト,,牝,3,松山弘平, 55 ,,18,"  ",,2,１,芝1600,重,-0.2,,13,12,36.6,1.5,466,0,,(栗),杉山晴紀,エピファネイア,キングカメハメハ
92,200412,日,2阪6,11,桜花賞G1,定量,国,レシステンシア,,牝,3,武豊, 55 ,,18,"  ",,1,２,芝1600,重,0.2,,2,2,38.2,0.1,482,-6,,(栗),松下武士,ダイワメジャー,"Lizard Island"
